Date,CreativeID,Impressions,Clicks,VideoStarts,VideoCompletions,OperatingSystem,DayofWeek,Site,SiteCategory
26/04/2018,692,50,0,10,4,Android,4,Progressive News,News
26/04/2018,692,9,0,3,2,Android,4,The City Daily,News
26/04/2018,692,124,0,56,26,iOS,4,Progressive News,News
26/04/2018,692,58,0,34,15,iOS,4,The City Daily,News
26/04/2018,692,2,0,0,0,Other,4,Progressive News,News
26/04/2018,692,202,0,92,50,Android,4,Business Times,News
26/04/2018,692,136,0,75,32,iOS,4,Business Times,News
26/04/2018,692,2,0,0,0,iOS,4,Business Times,News
26/04/2018,692,8,0,1,0,Other,4,Business Times,News
26/04/2018,692,1,0,0,0,Android,4,Sitting Pretty,Lifestyle
26/04/2018,692,2,0,1,0,iOS,4,The ClothesRack,Lifestyle
26/04/2018,692,2,0,1,1,iOS,4,Sitting Pretty,Lifestyle
26/04/2018,1239,39,0,11,6,Android,4,Progressive News,News
26/04/2018,1239,16,0,1,0,Android,4,The City Daily,News
26/04/2018,1239,2,0,1,0,Other,4,The City Daily,News
26/04/2018,1239,129,0,58,31,iOS,4,Progressive News,News
26/04/2018,1239,83,0,43,17,iOS,4,The City Daily,News
26/04/2018,1239,4,0,0,0,Other,4,Progressive News,News
26/04/2018,1239,2,0,0,0,Other,4,The City Daily,News
26/04/2018,1239,2,0,0,0,Android,4,NIMBY Times,News
26/04/2018,1239,1079,5,456,199,Android,4,NIMBY Times,News
26/04/2018,1239,4,0,2,2,Other,4,NIMBY Times,News
26/04/2018,1239,5,0,3,3,Other,4,NIMBY Times,News
26/04/2018,1239,5,0,3,2,Other,4,NIMBY Times,News
26/04/2018,1239,3,0,0,0,iOS,4,NIMBY Times,News
26/04/2018,1239,774,5,396,179,iOS,4,NIMBY Times,News
26/04/2018,1239,28,0,3,0,Other,4,NIMBY Times,News
26/04/2018,1239,4,0,0,0,Android,4,Sitting Pretty,Lifestyle
26/04/2018,1239,1,0,0,0,iOS,4,The ClothesRack,Lifestyle
26/04/2018,1239,6,0,3,2,iOS,4,Sitting Pretty,Lifestyle
26/04/2018,1239,1,0,0,0,iOS,4,Spambook,Lifestyle
26/04/2018,1125,23,0,5,0,Android,4,FootyNews,Sport
26/04/2018,1125,313,1,53,11,Android,4,Wot? Lifestyle,Lifestyle
26/04/2018,1125,1,0,0,0,Android,4,FootyNews,Sport
26/04/2018,1125,2,0,1,1,Other,4,FootyNews,Sport
26/04/2018,1125,90,0,37,6,iOS,4,FootyNews,Sport
26/04/2018,1125,384,0,216,96,iOS,4,Wot? Lifestyle,Lifestyle
26/04/2018,1125,1,0,0,0,iOS,4,FootyNews,Sport
26/04/2018,1125,9,0,7,6,Android,4,More Sport,Sport
26/04/2018,1125,354,0,228,124,Android,4,More Sport,Sport
26/04/2018,1125,22,0,6,6,Other,4,More Sport,Sport
26/04/2018,1125,3,0,2,2,Other,4,More Sport,Sport
26/04/2018,1125,3,0,2,2,iOS,4,More Sport,Sport
26/04/2018,1125,513,4,395,157,iOS,4,More Sport,Sport
26/04/2018,1125,3,0,0,0,iOS,4,More Sport,Sport
26/04/2018,1125,1,0,0,0,Other,4,More Sport,Sport
26/04/2018,1125,2,0,2,0,Other,4,More Sport,Sport
26/04/2018,1125,1,0,0,0,Android,4,CityNews,News
26/04/2018,1125,359,1,133,55,Android,4,CityNews,News
26/04/2018,1125,1,0,0,0,Android,4,CityNews,News
26/04/2018,1125,1,1,1,1,Other,4,CityNews,News
26/04/2018,1125,2,0,1,1,Other,4,CityNews,News
26/04/2018,1125,339,2,168,80,iOS,4,CityNews,News
26/04/2018,1125,1,0,1,1,iOS,4,Spambook,Lifestyle
26/04/2018,1448,38,0,7,4,Android,4,Progressive News,News
26/04/2018,1448,12,0,4,2,Android,4,The City Daily,News
26/04/2018,1448,1,0,1,1,Other,4,The City Daily,News
26/04/2018,1448,1,0,0,0,Other,4,The City Daily,News
26/04/2018,1448,131,1,52,32,iOS,4,Progressive News,News
26/04/2018,1448,72,0,36,21,iOS,4,The City Daily,News
26/04/2018,1448,6,0,0,0,Other,4,Progressive News,News
26/04/2018,1448,1,0,0,0,Other,4,The City Daily,News
26/04/2018,1448,5,0,2,1,Android,4,Sitting Pretty,Lifestyle
26/04/2018,1448,3,1,1,0,iOS,4,The ClothesRack,Lifestyle
26/04/2018,1448,2,0,0,0,iOS,4,Sitting Pretty,Lifestyle
26/04/2018,1448,1,0,0,0,Android,4,Weights & Plates,Sport
26/04/2018,1448,3,0,0,0,Android,4,Marathon Digest,Sport
26/04/2018,1448,1,0,0,0,iOS,4,The Classic Gentleman,Fashion / Lifestyle
26/04/2018,1448,3,0,0,0,iOS,4,Weights & Plates,Sport
26/04/2018,1448,5,0,2,0,iOS,4,Marathon Digest,Sport
26/04/2018,3915,42,0,9,7,Android,4,Progressive News,News
26/04/2018,3915,8,0,1,1,Android,4,The City Daily,News
26/04/2018,3915,128,1,57,25,iOS,4,Progressive News,News
26/04/2018,3915,63,0,38,17,iOS,4,The City Daily,News
26/04/2018,3915,3,0,0,0,Other,4,Progressive News,News
26/04/2018,3915,2,0,0,0,Other,4,The City Daily,News
26/04/2018,3915,176,3,78,38,Android,4,Business Times,News
26/04/2018,3915,1,0,0,0,Other,4,Business Times,News
26/04/2018,3915,1,0,1,1,Other,4,Business Times,News
26/04/2018,3915,2,0,1,1,Other,4,Business Times,News
26/04/2018,3915,135,0,70,23,iOS,4,Business Times,News
26/04/2018,3915,2,0,0,0,iOS,4,Business Times,News
26/04/2018,3915,12,0,2,0,Other,4,Business Times,News
26/04/2018,3915,4,0,1,0,Android,4,Sitting Pretty,Lifestyle
26/04/2018,3915,5,1,1,0,iOS,4,The ClothesRack,Lifestyle
26/04/2018,3915,4,0,2,2,iOS,4,Sitting Pretty,Lifestyle
26/04/2018,2701,48,1,10,3,Android,4,Progressive News,News
26/04/2018,2701,13,0,6,2,Android,4,The City Daily,News
26/04/2018,2701,1,0,1,0,Other,4,The City Daily,News
26/04/2018,2701,149,0,67,32,iOS,4,Progressive News,News
26/04/2018,2701,89,0,50,15,iOS,4,The City Daily,News
26/04/2018,2701,2,0,0,0,Other,4,Progressive News,News
26/04/2018,2701,2,0,1,0,Other,4,The City Daily,News
26/04/2018,2701,2,0,1,1,Android,4,Sitting Pretty,Lifestyle
26/04/2018,2701,2,0,0,0,iOS,4,The ClothesRack,Lifestyle
26/04/2018,2701,4,0,2,1,iOS,4,Sitting Pretty,Lifestyle
26/04/2018,2701,1,0,0,0,Android,4,The Classic Gentleman,Fashion / Lifestyle
26/04/2018,2701,1,0,0,0,Android,4,Weights & Plates,Sport
26/04/2018,2701,1,0,0,0,iOS,4,Weights & Plates,Sport
26/04/2018,2701,3,0,0,0,iOS,4,Marathon Digest,Sport
26/04/2018,1157,34,0,10,6,Android,4,Progressive News,News
26/04/2018,1157,17,1,8,3,Android,4,The City Daily,News
26/04/2018,1157,105,0,46,22,iOS,4,Progressive News,News
26/04/2018,1157,79,1,42,22,iOS,4,The City Daily,News
26/04/2018,1157,5,0,0,0,Other,4,Progressive News,News
26/04/2018,1157,2,0,1,0,Other,4,The City Daily,News
26/04/2018,1157,5,0,3,1,Android,4,Sitting Pretty,Lifestyle
26/04/2018,1157,5,0,2,0,iOS,4,The ClothesRack,Lifestyle
26/04/2018,1157,6,0,3,3,iOS,4,Sitting Pretty,Lifestyle
26/04/2018,1157,2,0,0,0,Android,4,Weights & Plates,Sport
26/04/2018,1157,4,0,1,0,Android,4,Marathon Digest,Sport
26/04/2018,1157,1,0,1,0,iOS,4,The Classic Gentleman,Fashion / Lifestyle
26/04/2018,1157,1,0,0,0,iOS,4,Weights & Plates,Sport
26/04/2018,1157,7,0,4,2,iOS,4,Marathon Digest,Sport
26/04/2018,1012,49,1,13,6,Android,4,Progressive News,News
26/04/2018,1012,5,0,3,0,Android,4,The City Daily,News
26/04/2018,1012,139,0,62,35,iOS,4,Progressive News,News
26/04/2018,1012,97,0,55,28,iOS,4,The City Daily,News
26/04/2018,1012,3,0,0,0,Other,4,Progressive News,News
26/04/2018,1012,2,0,0,0,Other,4,The City Daily,News
26/04/2018,1012,2,0,1,0,Android,4,Sitting Pretty,Lifestyle
26/04/2018,1012,3,0,1,1,iOS,4,The ClothesRack,Lifestyle
26/04/2018,1012,6,0,2,2,iOS,4,Sitting Pretty,Lifestyle
26/04/2018,1012,2,0,2,1,Android,4,Marathon Digest,Sport
26/04/2018,1012,1,0,1,0,iOS,4,The Classic Gentleman,Fashion / Lifestyle
26/04/2018,1012,1,0,0,0,iOS,4,Weights & Plates,Sport
26/04/2018,1940,42,1,7,3,Android,4,Progressive News,News
26/04/2018,1940,8,0,1,0,Android,4,The City Daily,News
26/04/2018,1940,126,0,59,32,iOS,4,Progressive News,News
26/04/2018,1940,83,0,36,10,iOS,4,The City Daily,News
26/04/2018,1940,4,0,1,0,Other,4,Progressive News,News
26/04/2018,1940,3,0,0,0,Other,4,The City Daily,News
26/04/2018,1940,5,0,3,1,Android,4,Sitting Pretty,Lifestyle
26/04/2018,1940,3,0,1,0,iOS,4,The ClothesRack,Lifestyle
26/04/2018,1940,7,0,3,3,iOS,4,Sitting Pretty,Lifestyle
26/04/2018,1940,2,0,0,0,Android,4,Weights & Plates,Sport
26/04/2018,1940,2,0,2,1,iOS,4,The Classic Gentleman,Fashion / Lifestyle
26/04/2018,1940,4,0,1,0,iOS,4,Weights & Plates,Sport
26/04/2018,1940,2,0,0,0,iOS,4,Marathon Digest,Sport
26/04/2018,3400,17,0,4,0,Android,4,FootyNews,Sport
26/04/2018,3400,330,2,53,5,Android,4,Wot? Lifestyle,Lifestyle
26/04/2018,3400,1,0,1,1,Other,4,FootyNews,Sport
26/04/2018,3400,3,1,3,3,Other,4,FootyNews,Sport
26/04/2018,3400,64,0,19,4,iOS,4,FootyNews,Sport
26/04/2018,3400,332,4,164,65,iOS,4,Wot? Lifestyle,Lifestyle
26/04/2018,3400,3,0,3,3,Android,4,More Sport,Sport
26/04/2018,3400,330,0,211,113,Android,4,More Sport,Sport
26/04/2018,3400,1,0,0,0,Android,4,More Sport,Sport
26/04/2018,3400,20,0,6,5,Other,4,More Sport,Sport
26/04/2018,3400,1,0,0,0,Other,4,More Sport,Sport
26/04/2018,3400,530,5,415,164,iOS,4,More Sport,Sport
26/04/2018,3400,4,0,0,0,Other,4,More Sport,Sport
26/04/2018,3400,2,0,1,0,Other,4,More Sport,Sport
26/04/2018,3400,317,6,119,51,Android,4,CityNews,News
26/04/2018,3400,1,0,1,1,Other,4,CityNews,News
26/04/2018,3400,2,0,2,2,Other,4,CityNews,News
26/04/2018,3400,1,0,0,0,iOS,4,CityNews,News
26/04/2018,3400,316,4,137,52,iOS,4,CityNews,News
26/04/2018,3400,1,0,0,0,iOS,4,CityNews,News
26/04/2018,3400,1,0,1,1,iOS,4,Spambook,Lifestyle
27/04/2018,692,376,2,80,30,Android,5,Progressive News,News
27/04/2018,692,273,2,91,17,Android,5,The City Daily,News
27/04/2018,692,482,5,218,105,iOS,5,Progressive News,News
27/04/2018,692,148,1,94,32,iOS,5,The City Daily,News
27/04/2018,692,8,0,0,0,Other,5,Progressive News,News
27/04/2018,692,84,0,12,4,Android,5,MusicRoom,Entertainment
27/04/2018,692,1,0,0,0,Android,5,RockTunes,Entertainment
27/04/2018,692,136,9,77,52,Other,5,MusicRoom,Entertainment
27/04/2018,692,251,2,119,43,iOS,5,MusicRoom,Entertainment
27/04/2018,692,7,1,3,1,iOS,5,RockTunes,Entertainment
27/04/2018,692,1,0,0,0,Other,5,MusicRoom,Entertainment
27/04/2018,692,1,0,1,1,Android,5,Business Times,News
27/04/2018,692,946,4,451,230,Android,5,Business Times,News
27/04/2018,692,2,0,0,0,Other,5,Business Times,News
27/04/2018,692,515,3,285,102,iOS,5,Business Times,News
27/04/2018,692,21,0,7,0,Other,5,Business Times,News
27/04/2018,692,2,0,2,1,Android,5,The ClothesRack,Lifestyle
27/04/2018,692,10,0,5,3,Android,5,Sitting Pretty,Lifestyle
27/04/2018,692,13,0,2,1,iOS,5,The ClothesRack,Lifestyle
27/04/2018,692,30,0,17,12,iOS,5,Sitting Pretty,Lifestyle
27/04/2018,1239,364,2,72,33,Android,5,Progressive News,News
27/04/2018,1239,277,8,111,23,Android,5,The City Daily,News
27/04/2018,1239,450,0,233,101,iOS,5,Progressive News,News
27/04/2018,1239,152,0,84,32,iOS,5,The City Daily,News
27/04/2018,1239,3,0,0,0,Other,5,Progressive News,News
27/04/2018,1239,2,0,0,0,Other,5,The City Daily,News
27/04/2018,1239,2,0,0,0,Android,5,NIMBY Times,News
27/04/2018,1239,5382,31,2373,993,Android,5,NIMBY Times,News
27/04/2018,1239,5,0,3,1,Other,5,NIMBY Times,News
27/04/2018,1239,2,0,2,2,Other,5,NIMBY Times,News
27/04/2018,1239,48,0,26,13,Other,5,NIMBY Times,News
27/04/2018,1239,5,0,0,0,iOS,5,NIMBY Times,News
27/04/2018,1239,3506,11,1913,961,iOS,5,NIMBY Times,News
27/04/2018,1239,203,1,53,6,Other,5,NIMBY Times,News
27/04/2018,1239,4,0,0,0,Android,5,The ClothesRack,Lifestyle
27/04/2018,1239,10,0,3,3,Android,5,Sitting Pretty,Lifestyle
27/04/2018,1239,8,0,1,0,iOS,5,The ClothesRack,Lifestyle
27/04/2018,1239,28,0,10,6,iOS,5,Sitting Pretty,Lifestyle
27/04/2018,1239,689,6,249,91,Android,5,Spambook,Lifestyle
27/04/2018,1239,11,0,4,0,Android,5,GossipNews,Lifestyle
27/04/2018,1239,41,0,14,6,Android,5,SportSpam,Sport
27/04/2018,1239,1021,8,591,243,iOS,5,Spambook,Lifestyle
27/04/2018,1239,49,0,30,18,iOS,5,GossipNews,Lifestyle
27/04/2018,1239,142,0,62,14,iOS,5,SportSpam,Sport
27/04/2018,1239,1,0,1,0,iOS,5,Spambook,Lifestyle
27/04/2018,1239,1,0,1,0,iOS,5,SportSpam,Sport
27/04/2018,1239,4,0,1,0,Other,5,Spambook,Lifestyle
27/04/2018,1239,1,0,0,0,Other,5,SportSpam,Sport
27/04/2018,1125,130,3,30,3,Android,5,FootyNews,Sport
27/04/2018,1125,14,0,0,0,Android,5,FPSGaming,Tech / Gaming
27/04/2018,1125,1085,7,307,39,Android,5,Wot? Lifestyle,Lifestyle
27/04/2018,1125,223,0,106,32,iOS,5,FootyNews,Sport
27/04/2018,1125,80,0,16,5,iOS,5,FPSGaming,Tech / Gaming
27/04/2018,1125,1636,6,1100,620,iOS,5,Wot? Lifestyle,Lifestyle
27/04/2018,1125,4,0,4,4,Android,5,More Sport,Sport
27/04/2018,1125,1050,3,685,365,Android,5,More Sport,Sport
